Energy Market Modeller (Plexos), Turner Lovell, Germany, https://www.linkedin.com/jobs/view/3811037342 (Cosine similarity: 0.8363361207517792)
Head Energy is looking for a skilled/experienced System Engineer., Head Energy AS, Norway, https://www.linkedin.com/jobs/view/3820587503 (Cosine similarity: 0.8361680537094076)
Public Affairs Officer Transport & Energy, Virya Energy, Belgium, https://www.linkedin.com/jobs/view/3798655943 (Cosine similarity: 0.8350234011814053)
Energy Consultant, PT Renewables 🌳, United Kingdom, https://www.linkedin.com/jobs/view/3811010351 (Cosine similarity: 0.8251357946271937)
Sustainability Engineer - Relocate to Saudi Arabia, Permanent Expat Family Relocation Package, aramco, United Kingdom, https://www.linkedin.com/jobs/view/3796128399 (Cosine similarity: 0.821883175779792)
Energy Analyst, Smart Energy LAB, Portugal, https://www.linkedin.com/jobs/view/3711178713 (Cosine similarity: 0.8208331558973876)
New Request - Anti-Abuse Data & Operations Analyst - Fraud Operations, emagine, Greater Stockholm Metropolitan Area, https://www.linkedin.com/jobs/view/3819590336 (Cosine similarity: 0.819145695103594)
Energy Resource Analyst, Elawan Energy, Spain, https://www.linkedin.com/jobs/view/3817085150 (Cosine similarity: 0.816685460443235)
Catastrophe Modeler (Hybrid #54519), DW Simpson Global Actuarial & Analytics Recruitment, MA, https://www.linkedin.com/jobs/view/3814178046 (Cosine similarity: 0.8163069234774529)
Energy Modeler, Schnackel Engineers, Inc., NY, https://www.linkedin.com/jobs/view/3818553477 (Cosine similarity: 0.8136166860671967)
Industrial Energy Efficiency Consultant, EM3, United Kingdom, https://www.linkedin.com/jobs/view/3814187541 (Cosine similarity: 0.8134519788477359)
Energy Manager, Best.Energy, United Kingdom, https://www.linkedin.com/jobs/view/3817587917 (Cosine similarity: 0.8130859891849029)
Graduate Energy Consultant, Aztrum, United Kingdom, https://www.linkedin.com/jobs/view/3815493018 (Cosine similarity: 0.8109667628761998)
Energy Data Analyst, Siemens Energy, Greater Barcelona Metropolitan Area, https://www.linkedin.com/jobs/view/3817922651 (Cosine similarity: 0.8108374905041889)
Prop Modeler [Animation Department], THE THIRD FLOOR Inc., CA, https://www.linkedin.com/jobs/view/3785710005 (Cosine similarity: 0.8029944241054601)
Venergi: Senior Electrical Engineer - Energy Transition (m/w/d), Ramboll, Austria, https://www.linkedin.com/jobs/view/3820520401 (Cosine similarity: 0.8007436032775332)
Energy Systems Modeler (Relocation to Saudi Arabia), aramco, TX, https://www.linkedin.com/jobs/view/3814011009 (Cosine similarity: 0.799797072232254)
Chief of Staff - Renewable Energy Software, HYDROGRID, Austria, https://www.linkedin.com/jobs/view/3815511739 (Cosine similarity: 0.7995117655679658)
Energy Analyst, Peaple Talent, United Kingdom, https://www.linkedin.com/jobs/view/3822758638 (Cosine similarity: 0.7995117655679658)
Entry-Level Engineer, Over J Consulting, CA, https://www.linkedin.com/jobs/view/3772949928 (Cosine similarity: 0.7976709994000707)
Senior Project Manager- Energy Hub, Novo Nordisk, Denmark, https://www.linkedin.com/jobs/view/3823006195 (Cosine similarity: 0.7969029912879388)
Proposal Manager Oil & Energy, Tecnicas Reunidas, Spain, https://www.linkedin.com/jobs/view/3817353950 (Cosine similarity: 0.7964457389164792)
CQV & CSV Engineer (Commissioning and Computerized System), AL Engineering A/S, Copenhagen Metropolitan Area, https://www.linkedin.com/jobs/view/3762672129 (Cosine similarity: 0.7947003180261527)
(Sr.)Data Analyst, BIGO, Los Angeles Metropolitan Area, https://www.linkedin.com/jobs/view/3813161862 (Cosine similarity: 0.7943518877284154)
Commercial Data Analyst, ELPEDISON S.A., Greece, https://www.linkedin.com/jobs/view/3803179377 (Cosine similarity: 0.7939830239396379)
Energy Markets Advisor and Market Modeller, Akaysha Energy, OR, https://www.linkedin.com/jobs/view/3743818995 (Cosine similarity: 0.7927778099856122)
Venergi: Senior Civil Engineer - Energy Transition (m/w/d), Ramboll, Austria, https://www.linkedin.com/jobs/view/3820521341 (Cosine similarity: 0.7925776425483444)
Energy Modeller Expert (m/f/d), GOPA Consulting Group, Germany, https://www.linkedin.com/jobs/view/3784023059 (Cosine similarity: 0.7917907628893266)
Modeler, Paritas Recruitment, United Kingdom, https://www.linkedin.com/jobs/view/3812176676 (Cosine similarity: 0.7912374346005828)
Lead Analyst, Long-term Energy Systems, Fortum, Finland, https://www.linkedin.com/jobs/view/3822105157 (Cosine similarity: 0.7896291236634002)
R&D Senior Engineer (Power Energy Storage) - Hitachi Energy, SPERTON - Where Great People Meet, Norway, https://www.linkedin.com/jobs/view/3815205311 (Cosine similarity: 0.7879007523256838)
Senior Energy Modeller/Technologist, The Green Recruitment Company, United Kingdom, https://www.linkedin.com/jobs/view/3819990940 (Cosine similarity: 0.786483017137091)
Primary Engineer (m/f/d), GE Vernova, Germany, https://www.linkedin.com/jobs/view/3826634405 (Cosine similarity: 0.7853940882256096)
Biogeochemistry Systems Modeller - Remote Europe, Agreena, Germany, https://www.linkedin.com/jobs/view/3806419117 (Cosine similarity: 0.7850080896613341)
AI Engineer - Internship - Remote, The Hub, Denmark, https://www.linkedin.com/jobs/view/3801455852 (Cosine similarity: 0.78374965454117)
Energy Portfolio Manager, Tesla, Netherlands, https://www.linkedin.com/jobs/view/3734596829 (Cosine similarity: 0.7825001305534227)
Energy Consultant, Assegai Recruitment, South Africa, https://www.linkedin.com/jobs/view/3817583962 (Cosine similarity: 0.7821695746426465)
Senior Energy Modeller, Energy Jobline, United Kingdom, https://www.linkedin.com/jobs/view/3791623362 (Cosine similarity: 0.7817454315333975)
Venergi: Senior Mechanical Engineer - Energy Transition (m/w/d), Ramboll, Austria, https://www.linkedin.com/jobs/view/3820515728 (Cosine similarity: 0.7813558334154905)
What if we told you this wasn't a job..., AltGen, United Kingdom, https://www.linkedin.com/jobs/view/3804627600 (Cosine similarity: 0.780133372962224)
Energy Market Analyst, Energy Jobline, United Kingdom, https://www.linkedin.com/jobs/view/3772917298 (Cosine similarity: 0.7800322868433258)
Graduate Energy Consultant, ecocareers, United Kingdom, https://www.linkedin.com/jobs/view/3821590122 (Cosine similarity: 0.7799803222386354)
Data Support Engineer - REMOTE (Retail Background), TekIntegral, United States, https://www.linkedin.com/jobs/view/3826484287 (Cosine similarity: 0.7798494094491021)
FPGA Engineering Specialist, Music Tribe, Sweden, https://www.linkedin.com/jobs/view/3819404610 (Cosine similarity: 0.7789252777347483)
Commercial Power Market Analyst, Chevron, TX, https://www.linkedin.com/jobs/view/3823032513 (Cosine similarity: 0.7785249374624154)
Energy Analyst - Grid Stability & Operability, GHD, United Kingdom, https://www.linkedin.com/jobs/view/3730863893 (Cosine similarity: 0.778441274353848)
Engineer (f/m/d) for Thermodynamic and Rotordynamic Design of Steam Turbine Machinery Core, Siemens Energy, Germany, https://www.linkedin.com/jobs/view/3744019831 (Cosine similarity: 0.7782032819823363)
PV Engineer, Worldwide Recruitment Energy, Spain, https://www.linkedin.com/jobs/view/3826382894 (Cosine similarity: 0.7767816152419178)
Experienced Energy Markets and Strategy Consultant, DNV, Norway, https://www.linkedin.com/jobs/view/3803168288 (Cosine similarity: 0.7755324530602214)
Energy Consultant, PowerPulse, Belgium, https://www.linkedin.com/jobs/view/3759358353 (Cosine similarity: 0.775410118042937)
Senior Energy Markets Modeler, Pattern Energy Group, IL, https://www.linkedin.com/jobs/view/3780007939 (Cosine similarity: 0.77416035735916)
Energy Analyst, SUEZ, United Kingdom, https://www.linkedin.com/jobs/view/3809446879 (Cosine similarity: 0.7738482421013158)
